Season,Age,Tm,Lg,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,adjGAA,GPS,G,A,PTS,PIM,Awards
1998-99,21,STL,NHL,6,,3,2,0,10,127,117,0.921,2.1,0,286,,,,,,2.52,0.9,0,0,0,0,
2000-01,23,STL,NHL,31,,19,9,2,63,676,613,0.907,2.17,4,1744,,,,96,2.39,2.44,4.4,0,0,0,2,Calder-11
2001-02,24,STL,NHL,58,,34,20,4,127,1293,1166,0.902,2.18,5,3491,,,,106,-7.72,2.6,7.1,0,4,4,2,
2002-03,25,STL,NHL,38,,16,13,5,84,844,760,0.9,2.47,2,2042,,,,109,-7.06,2.91,4.3,0,1,1,2,
2003-04,26,TOT,NHL,18,,5,9,2,41,446,405,0.908,2.51,1,979,,,,103,-1.28,3.06,2.6,0,0,0,0,
2003-04,26,STL,NHL,10,,4,3,1,20,203,183,0.901,2.43,1,493,,,,,,2.92,1,0,0,0,0,
2003-04,26,PHX,NHL,8,,1,6,1,21,243,222,0.914,2.59,0,486,,,,,,3.21,1.6,0,0,0,0,
2005-06,28,WSH,NHL,26,,9,12,1,81,854,773,0.905,3.44,1,1413,,,,96,3.32,3.53,5.5,0,0,0,14,
2006-07,29,WSH,NHL,30,,6,15,7,99,894,795,0.889,3.62,0,1644,,,,117,-14.29,3.95,3.9,0,1,1,4,
2007-08,30,WSH,NHL,19,17,7,8,2,46,500,454,0.908,2.67,0,1032,8,0.471,3,101,-0.58,3.08,3,0,0,0,0,
2008-09,31,WSH,NHL,21,19,12,6,2,53,579,526,0.908,2.81,0,1131,11,0.579,2,100,-0.02,3.08,3.5,0,1,1,4,
2009-10,32,PIT,NHL,23,15,10,6,1,51,541,490,0.906,2.76,0,1108,8,0.533,3,106,-3,3.14,2.9,0,1,1,0,
2010-11,33,PIT,NHL,23,20,13,5,3,47,604,557,0.922,2.17,1,1297,15,0.75,4,89,5.62,2.5,4.3,0,1,1,24,
2011-12,34,PIT,NHL,16,14,6,7,2,42,359,317,0.883,3.11,0,811,4,0.286,5,135,-10.96,3.7,0.9,0,1,1,0,
