Season,Age,Tm,Lg,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,adjGAA,GPS,G,A,PTS,PIM,Awards
1981-82,18,NYR,NHL,1,,1,0,0,1,30,29,0.967,1,0,60,,,,,,1,0.4,0,0,0,0,
1983-84,20,NYR,NHL,3,,2,1,0,10,84,74,0.881,3.35,0,179,,,,,,2.68,0.5,0,0,0,2,
1984-85,21,NYR,NHL,42,,12,24,3,165,1359,1194,0.879,4.21,1,2354,,,,97,5.34,3.36,7.7,0,5,5,17,Calder-14
1985-86,22,NYR,NHL,61,,31,21,5,184,1623,1439,0.887,3.33,3,3320,,,,90,20.26,2.57,10,0,3,3,16,"AS-1,Hart-5,Vezina-1"
1986-87,23,NYR,NHL,50,,18,20,5,161,1364,1203,0.882,3.64,0,2651,,,,98,2.93,3.08,7.7,0,1,1,18,Vezina-6
1987-88,24,NYR,NHL,56,,27,22,7,187,1700,1513,0.89,3.38,2,3315,,,,92,17.28,2.81,10.5,0,5,5,46,"AS-9,Vezina-6"
1988-89,25,NYR,NHL,56,,28,21,4,197,1662,1465,0.881,3.69,0,3207,,,,98,3.91,3.05,9.2,0,2,5,30,"AS-10,Vezina-4"
1989-90,26,NYR,NHL,47,,19,19,7,154,1361,1207,0.887,3.38,1,2734,,,,95,7.9,2.83,7.9,0,2,2,24,
1990-91,27,NYR,NHL,40,,15,18,6,126,1154,1028,0.891,3.35,3,2257,,,,96,5.53,3,6.8,0,3,3,18,
1991-92,28,NYR,NHL,45,,27,13,3,120,1331,1211,0.91,2.85,2,2526,,,,81,28.86,2.54,9.5,0,3,3,23,"AS-9,Vezina-6"
1992-93,29,NYR,NHL,48,,20,18,7,152,1525,1373,0.9,3.31,4,2757,,,,87,23.51,2.81,9.9,0,1,1,18,
1993-94,30,FLA,NHL,57,,21,25,11,145,1912,1767,0.924,2.53,1,3440,,,,72,55.62,2.41,15.2,0,0,0,38,"AS-2,Hart-3,Vezina-2"
1994-95,31,FLA,NHL,37,,14,15,4,86,1000,914,0.914,2.47,4,2087,,,,87,13.42,2.56,6.8,0,1,1,6,Vezina-5
1995-96,32,FLA,NHL,57,,26,20,7,142,1473,1331,0.904,2.68,2,3178,,,,95,7.63,2.64,8.6,0,2,2,10,"AS-8,Vezina-7"
1996-97,33,FLA,NHL,57,,27,19,10,128,1582,1454,0.919,2.29,2,3347,,,,85,22.72,2.44,10.8,0,2,2,8,"AS-4,Vezina-7"
1997-98,34,FLA,NHL,60,,18,29,11,165,1638,1473,0.899,2.87,4,3451,,,,107,-11.42,3.43,8.5,0,3,3,6,
1998-99,35,PHI,NHL,62,,27,18,15,135,1380,1245,0.902,2.19,6,3712,,,,106,-7.75,2.58,7.2,0,1,1,12,
1999-00,36,PHI,NHL,50,,25,15,9,108,1143,1035,0.906,2.2,3,2950,,,,99,1.28,2.48,7.1,0,1,1,6,
2000-01,37,TOT,NHL,48,,14,25,5,126,1270,1144,0.901,2.9,2,2630,,,,103,-3.14,3.29,7.5,0,0,0,8,
2000-01,37,NYI,NHL,44,,10,25,5,120,1177,1057,0.898,3.04,1,2390,,,,105,-6.14,3.44,6.6,0,0,0,8,
2000-01,37,NJD,NHL,4,,4,0,0,6,93,87,0.935,1.5,1,240,,,,,,1.75,0.9,0,0,0,0,
2001-02,38,NJD,NHL,5,,2,3,0,10,117,107,0.915,2,0,300,,,,,,2.4,0.8,0,0,0,4,
