Season,Age,Tm,Lg,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,adjGAA,GPS,G,A,PTS,PIM,Awards
2002-03,22,BUF,NHL,15,,6,8,1,40,410,370,0.902,2.63,1,912,,,,107,-2.62,3.09,2.2,0,0,0,0,
2003-04,23,BUF,NHL,3,,0,3,0,15,73,58,0.795,,0,178,,,,,,,-0.6,0,0,0,0,
2005-06,25,BUF,NHL,48,,30,14,3,124,1440,1316,0.914,2.6,1,2862,,,,87,18.17,2.66,10.6,0,2,2,0,"Calder-8,Hart-21"
2006-07,26,BUF,NHL,63,,40,16,6,168,1886,1718,0.911,2.73,2,3692,,,,94,10.71,2.96,12.7,0,2,2,2,"AS-6,Hart-20,Vezina-6"
2007-08,27,BUF,NHL,76,74,36,27,10,197,2104,1907,0.906,2.64,3,4474,37,0.5,12,103,-5.87,3.04,12.3,0,1,1,6,
2008-09,28,BUF,NHL,59,58,34,18,6,145,1773,1628,0.918,2.53,5,3443,38,0.655,7,89,17.25,2.77,12.5,0,0,0,4,"AS-13,Byng-28"
2009-10,29,BUF,NHL,69,67,41,18,8,150,2098,1948,0.929,2.22,5,4047,48,0.716,6,81,36.16,2.51,16.8,0,0,0,4,"AS-1,Byng-18,Hart-4,Vezina-1"
2010-11,30,BUF,NHL,66,65,34,22,8,165,1964,1799,0.916,2.59,5,3829,39,0.6,9,96,6.1,2.96,12.4,0,2,2,6,"AS-8,Hart-26"
2011-12,31,BUF,NHL,61,60,31,21,7,150,1788,1638,0.916,2.54,6,3536,33,0.55,7,97,4.59,3,11.4,0,0,0,0,
2012-13,32,BUF,NHL,40,39,17,17,5,108,1270,1162,0.915,2.81,0,2302,21,0.538,4,97,3.86,3.34,8.3,0,0,0,2,
2013-14,33,TOT,NHL,59,59,25,30,4,154,1885,1731,0.918,2.64,1,3501,36,0.61,7,95,8.42,3.1,12.4,0,2,2,0,
2013-14,33,BUF,NHL,40,40,15,22,3,108,1411,1303,0.923,2.72,0,2384,27,0.675,4,89,13.58,3.2,10.2,0,2,2,0,
2013-14,33,STL,NHL,19,19,10,8,1,46,474,428,0.903,2.47,1,1117,9,0.474,3,113,-5.16,2.9,2.2,0,0,0,0,
2014-15,34,VAN,NHL,45,45,29,15,1,107,1198,1091,0.911,2.53,6,2542,22,0.489,8,105,-4.75,3,6.6,0,0,0,0,
2015-16,35,VAN,NHL,51,51,17,24,9,137,1634,1497,0.916,2.7,1,3043,25,0.49,2,98,2.12,3.23,9.9,0,1,1,2,
2016-17,36,VAN,NHL,54,54,18,29,6,150,1737,1587,0.914,2.8,3,3212,26,0.481,7,100,0.32,3.25,10.3,0,1,1,22,
2017-18,37,ANA,NHL,28,21,12,6,6,53,739,686,0.928,2.35,4,1353,13,0.619,3,82,11.86,2.53,5.4,0,0,0,0,
2018-19,38,ANA,NHL,20,17,8,7,2,51,578,527,0.912,2.76,1,1109,10,0.588,2,98,1.1,2.92,3.3,0,0,0,0,
2019-20,39,ANA,NHL,23,19,9,6,4,64,685,621,0.907,3.1,0,1238,11,0.579,2,103,-2.06,3.3,3.6,0,1,1,0,
