Season,Age,Tm,Lg,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,MIN,QS,QS%,RBS,GA%-,GSAA,adjGAA,GPS,G,A,PTS,PIM,Awards
2002-03,28,BOS,NHL,4,,3,1,0,11,118,107,0.907,3.01,0,220,,,,,,3.55,0.7,0,0,0,0,
2005-06,31,BOS,NHL,38,,12,13,10,101,1213,1112,0.917,2.77,1,2187,,,,84,18.76,2.82,9.3,0,1,1,4,
2006-07,32,BOS,NHL,66,,30,29,4,189,1985,1796,0.905,3.13,3,3619,,,,100,-0.9,3.4,12,0,0,0,6,
2007-08,33,BOS,NHL,57,55,28,19,6,136,1731,1595,0.921,2.44,3,3342,38,0.691,5,86,21.25,2.8,13.2,0,0,0,2,"AS-10,Vezina-9"
2008-09,34,BOS,NHL,54,53,36,11,7,114,1694,1580,0.933,2.1,5,3259,39,0.736,3,74,41.02,2.3,14.7,0,1,1,6,"AS-1,Hart-7,Jennings-1,Vezina-1"
2009-10,35,BOS,NHL,43,42,17,18,8,104,1221,1117,0.915,2.56,5,2442,26,0.619,9,96,4.34,2.87,7.8,0,0,0,8,
2010-11,36,BOS,NHL,57,55,35,11,9,112,1811,1699,0.938,2,9,3364,41,0.745,3,71,45.77,2.28,16.2,0,3,3,13,"AS-1,Hart-5,Smythe-1,Vezina-1"
2011-12,37,BOS,NHL,59,55,35,19,1,132,1659,1527,0.92,2.36,5,3352,30,0.545,3,92,11.44,2.79,11.5,0,1,1,0,
2013-14,39,TOT,NHL,48,45,18,24,4,128,1390,1262,0.908,2.88,0,2663,25,0.556,7,107,-8.23,3.38,7.4,0,1,1,4,
2013-14,39,FLA,NHL,40,40,16,20,3,110,1206,1096,0.909,2.87,0,2299,23,0.575,6,106,-6.08,3.37,6.6,0,1,1,4,
2013-14,39,DAL,NHL,8,5,2,4,1,18,184,166,0.902,2.97,0,364,2,0.4,1,,,3.47,0.9,0,0,0,0,
